Subgroup,Phase,Time Period,Time Period Start Date,Time Period End Date,Value,Low CI,High CI
Some college/Associate's degree,1,5,2020-05-28,2020-06-02,48.3,47.2,49.5
Bachelor's degree or higher,1,5,2020-05-28,2020-06-02,47.9,47.1,48.6
Alabama,1,5,2020-05-28,2020-06-02,45.0,40.5,49.5
Alaska,1,5,2020-05-28,2020-06-02,50.7,46.1,55.3
Arizona,1,5,2020-05-28,2020-06-02,42.9,39.0,46.8
Arkansas,1,5,2020-05-28,2020-06-02,46.6,41.7,51.6
California,1,5,2020-05-28,2020-06-02,46.9,44.1,49.8
Colorado,1,5,2020-05-28,2020-06-02,45.2,41.6,48.8
Connecticut,1,5,2020-05-28,2020-06-02,45.8,41.6,50.0
Delaware,1,5,2020-05-28,2020-06-02,42.3,37.1,47.7
District of Columbia,1,5,2020-05-28,2020-06-02,47.7,40.1,55.4
Florida,1,5,2020-05-28,2020-06-02,46.0,42.7,49.4
Georgia,1,5,2020-05-28,2020-06-02,45.8,41.4,50.3
Hawaii,1,5,2020-05-28,2020-06-02,37.0,32.5,41.7
Idaho,1,5,2020-05-28,2020-06-02,41.8,36.0,47.8
Illinois,1,5,2020-05-28,2020-06-02,47.7,43.6,51.8
Indiana,1,5,2020-05-28,2020-06-02,47.6,43.4,51.8
Iowa,1,5,2020-05-28,2020-06-02,41.2,36.3,46.2
Kansas,1,5,2020-05-28,2020-06-02,38.4,34.2,42.8
Kentucky,1,5,2020-05-28,2020-06-02,46.5,41.9,51.1
Louisiana,1,5,2020-05-28,2020-06-02,45.6,40.8,50.6
Maine,1,5,2020-05-28,2020-06-02,46.8,42.6,51.1
Maryland,1,5,2020-05-28,2020-06-02,45.0,40.5,49.6
Massachusetts,1,5,2020-05-28,2020-06-02,47.6,43.2,52.0
Michigan,1,5,2020-05-28,2020-06-02,48.9,45.1,52.8
Minnesota,1,5,2020-05-28,2020-06-02,50.6,46.7,54.6
Mississippi,1,5,2020-05-28,2020-06-02,52.1,46.5,57.6
Missouri,1,5,2020-05-28,2020-06-02,41.3,36.9,45.9
Montana,1,5,2020-05-28,2020-06-02,46.6,40.1,53.2
Nebraska,1,5,2020-05-28,2020-06-02,37.1,32.7,41.7
Nevada,1,5,2020-05-28,2020-06-02,41.9,37.0,46.9
New Hampshire,1,5,2020-05-28,2020-06-02,43.7,39.8,47.7
New Jersey,1,5,2020-05-28,2020-06-02,50.3,46.5,54.1
New Mexico,1,5,2020-05-28,2020-06-02,46.8,42.1,51.6
New York,1,5,2020-05-28,2020-06-02,46.8,43.1,50.5
North Carolina,1,5,2020-05-28,2020-06-02,46.6,42.0,51.2
North Dakota,1,5,2020-05-28,2020-06-02,34.9,29.7,40.3
Ohio,1,5,2020-05-28,2020-06-02,42.8,38.1,47.5
Oklahoma,1,5,2020-05-28,2020-06-02,40.4,35.5,45.4
Oregon,1,5,2020-05-28,2020-06-02,50.3,46.4,54.2
Pennsylvania,1,5,2020-05-28,2020-06-02,49.2,45.2,53.1
Rhode Island,1,5,2020-05-28,2020-06-02,43.6,38.6,48.6
South Carolina,1,5,2020-05-28,2020-06-02,39.6,34.3,45.0
South Dakota,1,5,2020-05-28,2020-06-02,41.2,36.5,46.0
